raw_file,course,original_title,drive_file_id,export_notes
leading-people-final-study-guide.md,Leading People,Leading People Final Exam Study Guide,1uAAhnYGTYdQ2AlyxOxvr-hudlnADWBARutCsedKQUok,Google Doc exported to Markdown; 4 embedded images removed
leading-people-midterm-study-guide.md,Leading People,Midterm_Study_Guide_Leading_People_Complete.docx,1DbLXh5VKefqcsDzxKpO6twXFNG6XP42U,.docx converted to Markdown text
micro-final-cheat-sheet.md,Microeconomics,Cheat sheet Micro Final,1KgMvyqEgGh3MAXJsr48QJAge1Wv-BJFecPQB_TgzHTc,Google Slides text export; diagrams not included
micro-examples-in-the-wild-1.md,Microeconomics,Examples in the Wild 1 - LUIZA,1lCEVTRk8MS5Fp_Q4knyxqC5sftHR0nnZU241hcShQeo,Google Doc text; title added as heading; two classmate first names replaced with "the two second-years" (privacy)
micro-examples-in-the-wild-2.md,Microeconomics,Examples in the Wild 2 - LUIZA,1UYP6h6t4Vlc9NPzQKSa4hv4sQJw8_VcggSYvfQLY520,Google Doc text; title added as heading
micro-examples-in-the-wild-3.md,Microeconomics,Examples in the Wild 3 - LUIZA,1uo6mVtNVi0tP2PMUJDHvfrV3i47jhf9vz-HY22f7xAM,Google Doc text; title added as heading
micro-examples-in-the-wild-4.md,Microeconomics,Examples in the Wild 4 - LUIZA,1CnnR6YenoS4gt6qloyn5v13HwWf0MlfCFzh8YTwaw3Q,Google Doc text; title added as heading
micro-examples-in-the-wild-5.md,Microeconomics,Examples in the Wild 5 - LUIZA,1UhNxmp3oIkduMUjvA0B4Cf5OSnrqx8LbZktwHksw2Oc,Google Doc text; title added as heading
data-and-decisions-cheat-sheet.md,Data & Decisions,Cheat sheet D&D,1QxBV6p0WqbwAEa3TfINdoETuUqAq2yCMGO-R6KcR6GQ,Google Slides text export; Greek symbols restored; diagrams not included
marketing-final-cheat-sheet.md,Marketing,Final Cheat Sheet,10D78GloywzTwrHDpu1HhMyjcVxCHWKEdzvB5HenTHrg,Google Doc exported to Markdown; 4 embedded images removed
marketing-nike-case.md,Marketing,Nike case - Luiza,1JiVacUShKAdhsN9zGWa-CE2T8DSI_vjc2mm-BKJMlSo,Google Doc exported to Markdown; table escape characters cleaned
finance-summary.pdf,Finance,Finance Summary.pdf,1pouD1sdc9N0gTMRqNDgF6BuPyIQ3Y2I3,Original PDF unchanged (35 pages; text extractable)
buscomm-case-1-opening-week-at-darden.md,Business Communication,Case 1 - Luiza,1z7CCSeArQzha1L02sSg4sp0jM1XI-P7-ksHBFFYdgFw,Google Doc text export
buscomm-case-2-jack-rivkin.md,Business Communication,Case 2,1OnRYV1t0S1NalNOxs6WSAcH-BgDs0Hb-DsS-2JsHHsA,Google Doc text export
buscomm-case-3-west-side-united.md,Business Communication,Case 3 - Luiza,1z5tQTp774iQU2a6xyqrnw5qN7aNVhNrZVqaHrVPdlSY,Google Doc text export
buscomm-case-4-equinox-board.md,Business Communication,Case 4- Luiza,1tgPlyB6EKyNlSO7KSL_5mpOtCmLxJ8C25paPVv6Pavo,Google Doc text export
